Report_Type,Report_Type_Internal_Value,Report_Id,Title,Priority,Priority_Internal_Value,Report_Status,Reported_By,Reported_At_(GMT+2:0),Latitude,Longitude,Number_of_Notes,Notes,Number_of_Related_Subjects,Collection_Report_IDs,Area,Perimeter,Attachments,CUSTOM_FIELDS_BEGIN_HERE,ID,Condition,Activity,Count,Additional_Information
Elephant Sighting,elephant_monitoring_rep,3070,,Green,100,Resolved,MichaelH,2024-01-10 17:35,-24.077222278212986,27.81222826656707,0,,,,,,https://storage.googleapis.com/user-uploads-kaingo/image_fileuploads/2024/01/11/97e6112c-b8fd-4f67-9191-c7664565e0bb/Photo1.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=er-gcs-kaingo%40earthranger-78ca55ca.iam.gserviceaccount.com%2F20250228%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250228T055457Z&X-Goog-Expires=86400&X-Goog-SignedHeaders=host&X-Goog-Signature=b5052be018966576e7335b7265c7b0e36673164319b5379876ef529b74b27dc9cb180f42ec962fc81353893d9d8a2a65b062a98b279d907cc0c63c34af708228b52939f55a6f8be0db4a6bb587a73484151643c2684093c9a802d9cbd0045cf374a31f2a4a20f088788040f188ad48951b848c694b908364bf598042306bc376eb417be26ba2c0001da40cee6cab2a7c9611f2923c53b001af24b4d0ac5e5d0edcae403848c0ac16127e300013c95e4a39b77adbce9c3b819135b5bc6a1c0503e3de819d3ae078c83981b4f93b675621912b7aecb2be6f9b979bc5e0a1c2c1b587dacf3a639622549ae2f4ae93e31f7471cd5a118cd5e4b8547d4f73dd108bc9,,Peanuts,5 (Good),Drinking Water,1,
Elephant Sighting,elephant_monitoring_rep,2158,,Green,100,Resolved,FransM,2023-08-23 10:17,-24.04880166666667,27.777308333333334,0,,,,,,,,Kambaku,5 (Good),Moving,1,
Elephant Sighting,elephant_monitoring_rep,3816,,Green,100,Resolved,Jacque,2024-04-14 09:36,-24.098679034987185,27.792425079095295,0,,,,,,,,Kambaku,,Moving,,
Elephant Sighting,elephant_monitoring_rep,5607,,Green,100,Resolved,MichaelH,2024-08-24 08:57,-24.04952041106375,27.85731492957111,0,,,,,,,,Kaingo Herd,5 (Good),Feeding,7,
Elephant Sighting,elephant_monitoring_rep,905,,Green,100,Resolved,Jurie,2023-01-24 16:41,-24.106806620246743,27.7625667898661,0,,,,,,,,,,,1,
Elephant Sighting,elephant_monitoring_rep,2253,,Green,100,Resolved,Royal Morubisi Guides,2023-09-04 06:57,-24.076969460340905,27.81238934320521,0,,,,,,,,Peanuts,,,,Abrie
Elephant Sighting,elephant_monitoring_rep,4777,,Green,100,Resolved,WPS Camera,2024-06-12 18:34,-24.06495407351082,27.819998767106256,0,,,,,,,,Unknown Bull/s,,,,
Elephant Sighting,elephant_monitoring_rep,2679,,Green,100,Resolved,Jacque,2023-11-06 19:12,-24.079603087285335,27.774052977087763,0,,,,,,,,Kambaku,5 (Good),Drinking Water,1,
Elephant Sighting,elephant_monitoring_rep,812,,Green,100,Resolved,,2023-01-03 17:20,,,0,,,,,,,,,5 (Good),Feeding,1,Tiny
Elephant Sighting,elephant_monitoring_rep,1794,,Green,100,Resolved,Jacque,2023-06-25 14:06,-24.11359744385291,27.790738533731684,0,,,,,,,,,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,2957,,Green,100,Resolved,Royal Morubisi Guides,2023-12-28 06:56,-24.092401424850465,27.71011037108923,0,,,,,,,,Mokolo Herd,,,,Abrie
Elephant Sighting,elephant_monitoring_rep,2448,,Green,100,Resolved,Jacque,2023-10-08 15:30,-24.075224726455787,27.782664516252908,0,,,,,,,,Kambaku,5 (Good),Feeding,2,Young bull with him
Elephant Sighting,elephant_monitoring_rep,1411,,Green,100,Resolved,FransM,2023-04-12 10:09,-24.105025,27.726251666666666,0,,,,,,,,Kaingo Herd,5 (Good),Feeding,9,
Elephant Sighting,elephant_monitoring_rep,2330,,Green,100,Resolved,Royal Morubisi Guides,2023-09-15 06:37,-24.073566874461278,27.76070309021327,0,,,,,,,,Kaingo Herd,,,,Jolandie
Elephant Sighting,elephant_monitoring_rep,2966,,Green,100,Resolved,Royal Morubisi Guides,2023-12-29 09:30,-24.06728229517698,27.75855023492295,0,,,,,,,,Mokolo Herd,,,,Abrie
Elephant Sighting,elephant_monitoring_rep,6195,,Green,100,Resolved,Jurie,2024-10-18 11:09,-24.112481133805957,27.749348471875493,0,,,,,,,,Mokolo Herd,,,,
Elephant Sighting,elephant_monitoring_rep,3902,,Green,100,Resolved,Royal Morubisi Guides,2024-04-15 06:47,-24.07148046233199,27.81423286225612,0,,,,,,,,Unknown Bull/s,,,1,
Elephant Sighting,elephant_monitoring_rep,5483,,Green,100,Resolved,WPS Camera,2024-08-14 00:50,-24.051227873550914,27.887300832441525,0,,,,,,,,Unknown Bull/s,,,1,
Elephant Sighting,elephant_monitoring_rep,1694,,Green,100,Resolved,,2023-06-07 10:09,-24.065265954627876,27.77723352698831,0,,,,,,,,Tiny,5 (Good),Feeding,1,
