term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,mesh_id,n_vertices,aic,sanity_checks,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response,clean_term
(Intercept),1.29660141162742,1.66708579257786,-1.97082670096359,4.56402952421843,non-significant,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,(Intercept)
density_trend_estimate_scaled,0.00081298730514985,0.00524862793934304,-0.00947413442421319,0.0111001090345129,non-significant,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,Elephant Population Growth
local_density_km2_scaled,0.208063709139631,0.00867120702013592,0.191068455677674,0.225058962601588,positive,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,Local Elephant Density
months_severe_drought_scaled,-0.182095758460461,0.00713551819392,-0.196081117131574,-0.168110399789347,negative,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0455646092284587,0.00300941225423,-0.051462948861383,-0.0396662695955344,negative,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,Fire frequency
mat_change_scaled,0.0723860961490359,0.0127865395992771,0.0473249390475576,0.0974472532505141,positive,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,MAT Trend
n_deposition_scaled,-0.143470435136101,0.0111025402927906,-0.165231014246875,-0.121709856025326,negative,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,Nitrogen deposition
density_trend_estimate_scaled:local_density_km2_scaled,-0.00834556584338545,0.0010292228243912,-0.0103628055112588,-0.00632832617551211,negative,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,Elephant Population Growth:Local Elephant Density
local_density_km2_scaled:months_severe_drought_scaled,0.0869669539040519,0.00484614363420311,0.0774686869171058,0.0964652208909981,positive,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,N Drought Months:Local Elephant Density
local_density_km2_scaled:fire_frequency_scaled,0.0159297544174685,0.00407970950748054,0.00793367071542095,0.023925838119516,positive,20,150,mesh_30,941,6478183.70476943,TRUE,tree_cover_100m_coef,-3237524.69993656,1658064,-1.95259332567172,tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density_with_interactions.Rds,Woody Cover Trend,Fire frequency:Local Elephant Density
