cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
2,50,mesh_1,30429,TRUE,5,canopy_height_900m_coef,451278.476942369,125806,3.5870982063047,cv_canopy_height_900m_coef_mesh_1_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_1_1000m_mean_density_smoothed.Rds,Canopy Height Trend
2,100,mesh_2,28588,TRUE,5,canopy_height_900m_coef,450834.402115266,125806,3.58356836808471,cv_canopy_height_900m_coef_mesh_2_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_2_1000m_mean_density_smoothed.Rds,Canopy Height Trend
2,150,mesh_3,28293,TRUE,5,canopy_height_900m_coef,450938.666676522,125806,3.58439714064927,cv_canopy_height_900m_coef_mesh_3_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_3_1000m_mean_density_smoothed.Rds,Canopy Height Trend
4,50,mesh_4,13020,TRUE,5,canopy_height_900m_coef,432156.163983522,125806,3.43509978843237,cv_canopy_height_900m_coef_mesh_4_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_4_1000m_mean_density_smoothed.Rds,Canopy Height Trend
4,100,mesh_5,11202,TRUE,5,canopy_height_900m_coef,432093.932377901,125806,3.43460512517607,cv_canopy_height_900m_coef_mesh_5_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_5_1000m_mean_density_smoothed.Rds,Canopy Height Trend
4,150,mesh_6,10908,TRUE,5,canopy_height_900m_coef,431950.080266022,125806,3.43346168120775,cv_canopy_height_900m_coef_mesh_6_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_6_1000m_mean_density_smoothed.Rds,Canopy Height Trend
8,50,mesh_7,5962,TRUE,5,canopy_height_900m_coef,411924.429205786,125806,3.27428285777933,cv_canopy_height_900m_coef_mesh_7_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_7_1000m_mean_density_smoothed.Rds,Canopy Height Trend
8,100,mesh_8,4011,TRUE,5,canopy_height_900m_coef,411909.112926905,125806,3.27416111256144,cv_canopy_height_900m_coef_mesh_8_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_8_1000m_mean_density_smoothed.Rds,Canopy Height Trend
8,150,mesh_9,3712,TRUE,5,canopy_height_900m_coef,411883.260271822,125806,3.27395561636028,cv_canopy_height_900m_coef_mesh_9_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_9_1000m_mean_density_smoothed.Rds,Canopy Height Trend
16,50,mesh_10,3740,TRUE,5,canopy_height_900m_coef,397054.796918154,125806,3.15608792043427,cv_canopy_height_900m_coef_mesh_10_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_10_1000m_mean_density_smoothed.Rds,Canopy Height Trend
